
 total force (fx,fy,fz) for set NROOT_NODES and time  0.2250000E+01

       -4.471628E-04  7.114290E+00 -7.102684E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2300000E+01

       -6.949453E-05  7.190654E+00 -1.189441E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2350000E+01

        3.822845E-04  7.283701E+00  6.188181E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2400000E+01

        3.015106E-04  7.267334E+00  4.877171E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2450000E+01

       -1.811244E-04  7.167753E+00 -2.963774E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2500000E+01

       -4.048264E-04  7.122649E+00 -6.471098E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2550000E+01

       -6.835016E-05  7.190890E+00 -1.158006E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2600000E+01

        3.430121E-04  7.275883E+00  5.576341E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2650000E+01

        2.787403E-04  7.262296E+00  4.464443E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2700000E+01

       -1.614478E-04  7.172188E+00 -2.589537E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2750000E+01

       -3.661346E-04  7.130233E+00 -5.903558E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2800000E+01

       -6.797355E-05  7.191221E+00 -1.105216E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2850000E+01

        3.092918E-04  7.268830E+00  5.000414E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2900000E+01

        2.558995E-04  7.257638E+00  4.112974E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2950000E+01

       -1.424549E-04  7.176140E+00 -2.286929E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3000000E+01

       -3.320212E-04  7.137123E+00 -5.359024E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3050000E+01

       -6.660503E-05  7.191626E+00 -1.073046E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3100000E+01

        2.788057E-04  7.262464E+00  4.498195E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3150000E+01

        2.345508E-04  7.253346E+00  3.777095E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3200000E+01

       -1.250984E-04  7.179650E+00 -2.011651E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3250000E+01

       -3.015500E-04  7.143388E+00 -4.867072E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3300000E+01

       -6.443292E-05  7.192083E+00 -1.035461E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3350000E+01

        2.509410E-04  7.256719E+00  4.044404E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3400000E+01

        2.150943E-04  7.249392E+00  3.468463E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3450000E+01

       -1.097533E-04  7.182762E+00 -1.768776E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3500000E+01

       -2.738976E-04  7.149088E+00 -4.417913E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3550000E+01

       -6.193717E-05  7.192577E+00 -9.969500E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3600000E+01

        2.256460E-04  7.251539E+00  3.636803E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3650000E+01

        1.973376E-04  7.245751E+00  3.183023E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3700000E+01

       -9.627534E-05  7.185519E+00 -1.553000E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3750000E+01

       -2.486673E-04  7.154272E+00 -4.009334E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3800000E+01

       -5.935859E-05  7.193096E+00 -9.569918E-08

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3850000E+01

        2.028359E-04  7.246869E+00  3.270259E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3900000E+01

        1.810238E-04  7.242400E+00  2.919186E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3950000E+01

       -8.438540E-05  7.187960E+00 -1.360928E-07

 total force (fx,fy,fz) for set NROOT_NODES and time  0.4000000E+01

       -2.256748E-04  7.158987E+00 -3.638624E-07
