
 total force (fx,fy,fz) for set NROOT_NODES and time  0.2250000E+01

        3.311390E-08  2.545869E+00  5.915446E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2300000E+01

       -1.251908E-08  2.545859E+00 -1.910916E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2350000E+01

       -7.165375E-09  2.545861E+00 -2.021405E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2400000E+01

        1.651167E-08  2.545865E+00  3.810152E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2450000E+01

       -1.458553E-08  2.545859E+00 -3.241230E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2500000E+01

        6.346365E-09  2.545863E+00  1.358824E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2550000E+01

        1.919162E-09  2.545863E+00  4.864997E-12

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2600000E+01

       -6.170798E-09  2.545861E+00 -1.427658E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2650000E+01

        5.793764E-09  2.545863E+00  1.353495E-11

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2700000E+01

       -2.666273E-09  2.545862E+00 -6.673329E-12

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2750000E+01

       -6.635689E-10  2.545862E+00 -6.452616E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2800000E+01

        2.472783E-09  2.545863E+00  4.696687E-12

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2850000E+01

       -2.412763E-09  2.545862E+00 -4.735767E-12

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2900000E+01

        1.183850E-09  2.545862E+00  2.183143E-12

 total force (fx,fy,fz) for set NROOT_NODES and time  0.2950000E+01

        1.889363E-10  2.545862E+00  6.981082E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3000000E+01

       -9.784118E-10  2.545862E+00 -2.335909E-12

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3050000E+01

        1.006263E-09  2.545862E+00  2.303491E-12

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3100000E+01

       -5.331030E-10  2.545862E+00 -1.229239E-12

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3150000E+01

       -2.801420E-11  2.545862E+00 -1.731948E-14

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3200000E+01

        3.698578E-10  2.545862E+00  7.625012E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3250000E+01

       -4.039590E-10  2.545862E+00 -8.362200E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3300000E+01

        2.252297E-10  2.545862E+00  4.831691E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3350000E+01

        1.024875E-12  2.545862E+00 -1.509903E-14

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3400000E+01

       -1.458609E-10  2.545862E+00 -3.095302E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3450000E+01

        1.670561E-10  2.545862E+00  3.548273E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3500000E+01

       -9.859147E-11  2.545862E+00 -2.047251E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3550000E+01

        6.399853E-12  2.545862E+00 -2.620126E-14

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3600000E+01

        5.565420E-11  2.545862E+00  1.252332E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3650000E+01

       -6.794876E-11  2.545862E+00 -1.478817E-13

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3700000E+01

        4.241218E-11  2.545862E+00  9.503509E-14

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3750000E+01

       -5.277834E-12  2.545862E+00 -3.552714E-15

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3800000E+01

       -2.098180E-11  2.545862E+00 -4.796163E-14

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3850000E+01

        2.737888E-11  2.545862E+00  4.618528E-14

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3900000E+01

       -1.793102E-11  2.545862E+00 -2.176037E-14

 total force (fx,fy,fz) for set NROOT_NODES and time  0.3950000E+01

        3.028050E-12  2.545862E+00 -8.437695E-15

 total force (fx,fy,fz) for set NROOT_NODES and time  0.4000000E+01

        8.013840E-12  2.545862E+00  1.598721E-14
